region,villager,identifier,mean_trend,p95_trend,recent_4w,TrendsScore,tier,rank,official_rank_overall,OfficialScore,TrendsScore_norm,PopularityIndex,rank_region
Japan,Gigi,リンダ どうぶつの森,0.0,0.0,0.0,0.0,6.0,101.0,351.0,0.15048543689320393,0.0,0.060194174757281574,332
Japan,Gladys,ちとせ どうぶつの森,0.0,0.0,0.0,0.0,5.0,24.0,154.0,0.6286407766990292,0.0,0.25145631067961166,179
Japan,Gloria,スワンソン どうぶつの森,0.0,0.0,0.0,0.0,6.0,105.0,355.0,0.14077669902912626,0.0,0.05631067961165051,335
Japan,Goldie,キャラメル どうぶつの森,0.03,0.0,0.397,0.061,3.0,16.0,56.0,0.866504854368932,1.0,0.9466019417475728,1
Japan,Gonzo,ゴンゾー どうぶつの森,0.0,0.0,0.0,0.0,5.0,31.0,161.0,0.6116504854368932,0.0,0.24466019417475726,183
Japan,Goose,ケンタ どうぶつの森,0.035,0.0,0.0,0.024,5.0,28.0,158.0,0.6189320388349515,0.39344262295081966,0.4836383893044724,31
Japan,Graham,グラハム どうぶつの森,0.0,0.0,0.0,0.0,5.0,55.0,185.0,0.5533980582524272,0.0,0.22135922330097088,203
Japan,Greta,ふくこ どうぶつの森,0.0,0.0,0.0,0.0,5.0,120.0,250.0,0.3956310679611651,0.0,0.15825242718446605,253
Japan,Grizzly,ムー どうぶつの森,0.0,0.0,0.0,0.0,6.0,80.0,330.0,0.20145631067961167,0.0,0.08058252427184467,314
Japan,Groucho,クロー どうぶつの森,0.0,0.0,0.0,0.0,6.0,42.0,292.0,0.2936893203883495,0.0,0.1174757281553398,286
Japan,Gruff,ビリー どうぶつの森,0.0,0.0,0.0,0.0,6.0,148.0,398.0,0.036407766990291246,0.0,0.014563106796116498,372
Japan,Gwen,ポーラ どうぶつの森,0.0,0.0,0.0,0.0,6.0,154.0,404.0,0.021844660194174748,0.0,0.0087378640776699,377
Japan,Hamlet,ハムスケ どうぶつの森,0.0,0.0,0.0,0.0,4.0,22.0,92.0,0.779126213592233,0.0,0.3116504854368932,126
Japan,Hamphrey,ハムジ どうぶつの森,0.0,0.0,0.0,0.0,5.0,65.0,195.0,0.529126213592233,0.0,0.21165048543689322,212
Japan,Hans,スナイル どうぶつの森,0.035,0.0,0.0,0.024,5.0,108.0,238.0,0.4247572815533981,0.39344262295081966,0.405968486391851,44
Japan,Harry,オリバー どうぶつの森,0.0,0.0,0.0,0.0,6.0,134.0,384.0,0.07038834951456308,0.0,0.02815533980582523,360
Japan,Hazel,アイリス どうぶつの森,0.0,0.0,0.0,0.0,3.0,23.0,63.0,0.8495145631067962,0.0,0.3398058252427185,94
Japan,Henry,ヘンリー どうぶつの森,0.0,0.0,0.0,0.0,3.0,21.0,61.0,0.854368932038835,0.0,0.34174757281553403,92
Japan,Hippeux,ディビッド どうぶつの森,0.0,0.0,0.0,0.0,6.0,16.0,266.0,0.3567961165048543,0.0,0.14271844660194175,265
Japan,Hopkins,プースケ どうぶつの森,0.0,0.0,0.0,0.0,5.0,91.0,221.0,0.46601941747572817,0.0,0.18640776699029127,233
Japan,Hopper,ダルマン どうぶつの森,0.0,0.0,0.0,0.0,5.0,105.0,235.0,0.43203883495145634,0.0,0.17281553398058255,243
Japan,Hornsby,みつお どうぶつの森,0.0,0.0,0.0,0.0,4.0,3.0,73.0,0.8252427184466019,0.0,0.3300970873786408,105
Japan,Huck,ストロー どうぶつの森,0.0,0.0,0.0,0.0,6.0,26.0,276.0,0.33252427184466016,0.0,0.13300970873786408,273
Japan,Hugh,クッチャネ どうぶつの森,0.0,0.0,0.0,0.0,6.0,52.0,302.0,0.26941747572815533,0.0,0.10776699029126213,292
Japan,Iggly,のりまき どうぶつの森,0.0,0.0,0.0,0.0,6.0,86.0,336.0,0.18689320388349517,0.0,0.07475728155339807,320
Japan,Ike,ダイク どうぶつの森 住民 bear,0.0,0.0,0.0,0.0,6.0,113.0,363.0,0.12135922330097082,0.0,0.04854368932038833,342
Japan,Jacob,ジャコテン どうぶつの森,0.0,0.0,0.0,0.0,6.0,110.0,360.0,0.12864077669902918,0.0,0.05145631067961168,339
Japan,Jacques,ジョッキー どうぶつの森,0.0,0.0,0.0,0.0,6.0,21.0,271.0,0.34466019417475724,0.0,0.1378640776699029,269
Japan,Jambette,エスメラルダ どうぶつの森,0.022,0.0,0.0,0.016,5.0,117.0,247.0,0.40291262135922334,0.26229508196721313,0.3185420977240172,116
Japan,Jay,ツバクロ どうぶつの森 住民 bird,0.0,0.0,0.0,0.0,6.0,31.0,281.0,0.3203883495145631,0.0,0.12815533980582525,278
Japan,Jeremiah,クワトロ どうぶつの森,0.0,0.0,0.0,0.0,4.0,19.0,89.0,0.7864077669902912,0.0,0.31456310679611654,120
Japan,Jitters,ジーニョ どうぶつの森,0.0,0.0,0.0,0.0,5.0,118.0,248.0,0.4004854368932039,0.0,0.1601941747572816,251
